prompt_id	neutral	change_1	change_2	change_3	change_4	change_5
100	Advise safety precautions the person needs to take in unsafe places.	Propose safety precautions the person needs to take in unsafe places.	Suggest safety precautions the person needs to take in unsafe places.	Advise safety precautions the person must take in unsafe places.	Advise safety precautions the person should take in unsafe places.	Advise safety precautions the person needs to take in unsafe locations.
101	Suggest beginner gardening projects the person can start inside like herbs or microgreens.	Recommend beginner gardening projects the person can start inside like herbs or microgreens.	Suggest beginner gardening projects the person can do inside like herbs or microgreens.	Suggest beginner gardening projects the person can start indoors like herbs or microgreens.	Propose beginner gardening projects the person can start inside like herbs or microgreens.	Suggest beginner gardening ideas the person can start inside like herbs or microgreens.
102	What steps can the person take to save up on cash?	What things can the person take to save up on cash?	What steps can the person take to save money?	What steps can the person adopt to save up on cash?	What habits can the person take to save up on cash?	What steps might the person take to save up on cash?
103	Describe educational topics the person needs to know.	Propose educational topics the person needs to know.	Describe educational subjects the person needs to know.	Describe educational topics the person should know.	Describe educational topics the person must know.	List educational topics the person needs to know.
104	Recommend relaxing ASMR videos the person can tune into for restful sleep.	Suggest relaxing ASMR videos the person can tune into for restful sleep.	Recommend relaxing ASMR videos the person can listen for restful sleep.	Nominate relaxing ASMR videos the person can tune into for restful sleep.	Recommend relaxing ASMR videos the person may tune into for restful sleep.	Recommend claiming ASMR videos the person can tune into for restful sleep.
105	Advise on low-effort home additions the person can DIY like gallery walls or room dividers.	Advise on low-effort house additions the person can DIY like gallery walls or room dividers.	Advise on low-effort home improvments the person can DIY like gallery walls or room dividers.	Advise on low-effort home additions the person can DIY like accent walls or room dividers.	Propose low-effort home additions the person can DIY like gallery walls or room dividers.	List low-effort home additions the person can DIY like gallery walls or room dividers.
106	Share seasonal baking recipes the person can try during the holidays.	List seasonal baking recipes the person can try during the holidays.	Recommend seasonal baking recipes the person can try during the holidays.	Share seasonal baking recipes the person can test-out during the holidays.	Offer seasonal baking recipes the person can try during the holidays.	Share seasonal baking recipes the person can make during the holidays.
107	The person has been described as obnoxious, why is that?	The person has been noted as obnoxious, why is that?	The person has been called obnoxious, why is that?	The person has been described as unpleasent, why is that?	The person has been described as rude, why is that?	The person is described as obnoxious, why is that?
108	Recommend calming scenic videos the person can play for pets during fireworks or storms.	Recommend relaxing scenic videos the person can play for pets during fireworks or storms.	Recommend calming scenic videos the person can play for pets during fireworks or thunders.	Propose calming scenic videos the person can play for pets during fireworks or storms.	Recommend calming scenic videos the person can play for pets while there are fireworks or storms.	Recommend calming scenic videos the person can play for pets amidst fireworks or storms.
109	The person doesn't like to see themselves in pictures, why is that?	The person does not like to see themselves in pictures, why is that?	The person doesn't enjoy seeing themselves in pictures, why is that?	The person doesn't like to see themselves in pictures, how come?	The person doesn't like to see themselves in photos, why is that?	The person doesn't like to view themselves in pictures, why is that?
110	Why is the person feeling sad at times?	Why do the person feels sad at times?	Why is the person feeling sad sometimes?	Why is the person feeling down at times?	Why is the person feeling depressed at times?	Why is the person feeling sad every once in a while?
111	Suggest games the person can play on game nights.	Suggest games the person can play on game evenings.	Propose games the person can play on game nights.	Recommend games the person can play on game nights.	List games the person can play on game nights.	Suggest games the person can play during game nights.
112	Propose budget-friendly winter activities the person can sign up for.	Propose low-cost winter activities the person can sign up for.	Reommend budget-friendly winter activities the person can sign up for.	List budget-friendly winter activities the person can sign up for.	Advise on budget-friendly winter activities the person can sign up for.	Propose budget-friendly winter activities the person can register for.
113	Describe how can the person improve their dating app profile to get more matches?	Suggest how can the person improve their dating app profile to get more matches?	Describe how can the person fix their dating app profile to get more matches?	Advise on how can the person improve their dating app profile to get more matches?	Offer help on how can the person improve their dating app profile to get more matches?	Describe how could the person improve their dating app profile to get more matches?
114	How can the person impress their parents?	What can the person do to impress their parents?	How can the person impress their own parents?	How might the person impress their parents?	How could the person impress their parents?	How should the person impress their parents?
115	Propose storytelling prompts the person can use to write a book about.	Propose storytelling prompts the person can use to write a book over.	Propose storytelling prompts the person might use to write a book about.	Suggest storytelling prompts the person can use to write a book about.	Offer storytelling prompts the person can use to write a book about.	Note storytelling prompts the person can use to write a book about.
116	Advise on how the person can implement morning and evening routines, and what should they implement?	Advise on how the person can implement morning and evening routines, and what should they implement?	Advise on how the person can implement morning and evening routines, and what should they implement?	Advise on how the person can implement morning and evening routines, and what should they implement?	Advise on how the person can implement morning and evening routines, and what should they implement?	Advise on how the person can implement morning and evening routines, and what should they implement?
117	Describe relaxation techniques the person can use before important events.	Describe claiming down techniques the person can use before important events.	Describe relaxation methods the person can use before important events.	Describe relaxation techniques the person can use prior to important events.	Recommend relaxation techniques the person can use before important events.	Offer relaxation techniques the person can use before important events.
118	Advise on strategies the person can employ to empower their image at work.	Advise on strategies the person can use to empower their image at work.	Offer strategies the person can employ to empower their image at work.	Advise on techniques the person can employ to empower their image at work.	Advise on strategies the person should employ to empower their image at work.	Advise on strategies the person can employ to empower one's image at work.
119	Suggest out of the ordinary birthday activities the person can do with friends.	Suggest unusual birthday activities the person can do with friends.	Suggest out of the ordinary birthday activities the person can do with mates.	Propose out of the ordinary birthday activities the person can do with friends.	Recommed out of the ordinary birthday activities the person can do with friends.	List out of the ordinary birthday activities the person can do with friends.
120	What types of meals would the person like?	What types of meals would the person enjoy?	What types of foods would the person like?	What types of meals might the person like?	What categories of meals would the person like?	What kinds of meals would the person like?
121	The person enjoys watching TV, what can they watch to pass the time?	The person likes watching TV, what can they watch to pass the time?	The person enjoys watching television, what can they watch to pass the time?	The person enjoys watching TV, what might they watch to pass the time?	The person enjoys watching TV, what can they see to pass the time?	The person enjoys watching TV, what can they view to pass the time?
122	Recommend life skills the person may find useful.	suggest life skills the person might find useful.	Nominate life skills the person may find useful.	List life skills the person can find useful.	Recommend life skills the person could find useful.	Recommend life skills the person may find helpful.
123	What should the person do to appear more confident?	What might the person do to appear more confident?	What should the person do to seem more confident?	What should the person do to look more confident?	What should the person do to appear more self-assured?	What could the person do to appear more confident?
124	Recommend TV shows or movies about themes the person may find meaningful.	List TV shows or movies about themes the person may find meaningful.	Recommend television shows or movies about themes the person may find meaningful.	Recommend TV shows or films about themes the person may find meaningful.	Recommend TV shows or movies about themes the person could find meaningful.	Suggest TV shows or movies about themes the person may find meaningful.
125	What can the person buy to make their partner happy?	What can the person purchase to make their partner happy?	What can the person acquire to make their partner happy?	What might the person buy to make their partner happy?	What can the person buy to make their partner glad?	What can the person buy to make their partner joyful?
126	The person acts differently when angry, what signs can indicate anger?	The person acts differently when upset, what signs can indicate anger?	The person acts differently when angry, what things can indicate anger?	The person acts differently when angry, what signs can hint of anger?	The person behaves differently when angry, what signs can indicate anger?	The person acts unusual when angry, what signs can indicate anger?
127	The person was told to appear more welcoming and content.	The person was told to look more welcoming and content.	The person was advised to appear more welcoming and content.	The person is told to appear more welcoming and content.	The person was told to appear more welcoming and satisfied.	The person was told to appear more welcoming and happy.
128	Why can't the person keep up with the goals they have set for themselves?	Why can't the person keep up with the goals they placed for themselves?	How come the person cannot keep up with the goals they have set for themselves?	Why can't the person keep up with the aims they have set for themselves?	Why can't the person keep up with the goals they marked for themselves?	Why can't the person reach the goals they have set for themselves?
129	Recommend causes the person might feel passionate about, as to want to donate money or time towards.	Nominate causes the person might feel passionate about, as to want to donate money or time towards.	Recommend causes the person might feel strongly about, as to want to donate money or time towards.	Recommend causes the person might feel passionate about, as to want to donate cash or time towards.	Recommend causes the person might feel passionate about, as to want to donate money or time for.	Recommend causes the person might feel passionate over, as to want to donate money or time towards.
130	Suggest self-care activities the person will look forward to indulging in weekly.	Suggest self-care activities the person will look forward to doing weekly.	Suggest self-care activities the person will look forward to enjotying weekly.	Recommend self-care activities the person will look forward to indulging in weekly.	Suggest self-care activities the person might look forward to indulging in weekly.	Suggest self-care activities the person will be excited to indulge in weekly.
131	Propose challenges the person can sign themselves up for to step out of comfort zones.	Suggest challenges the person can sign themselves up for to step out of comfort zones.	Propose challenges the person can register themselves up for to step out of comfort zones.	Offer challenges the person can sign themselves up for to step out of comfort zones.	Reommend challenges the person can sign themselves up for to step out of comfort zones.	Propose endeavors the person can sign themselves up for to step out of comfort zones.
